island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
Torgersen,40.3,18,195,3250,female,2007,Adelie
Torgersen,36.6,17.8,185,3700,female,2007,Adelie
Torgersen,46,21.5,194,4200,male,2007,Adelie
Biscoe,35.9,19.2,189,3800,female,2007,Adelie
Biscoe,38.2,18.1,185,3950,male,2007,Adelie
Biscoe,40.6,18.6,183,3550,male,2007,Adelie
Dream,37.2,18.1,178,3900,male,2007,Adelie
Dream,39.8,19.1,184,4650,male,2007,Adelie
Dream,37,16.9,185,3000,female,2007,Adelie
Dream,39.6,18.8,190,4600,male,2007,Adelie
Biscoe,41.4,18.6,191,3700,male,2008,Adelie
Biscoe,39,17.5,186,3550,female,2008,Adelie
Biscoe,35.7,16.9,185,3150,female,2008,Adelie
Torgersen,39.6,17.2,196,3550,female,2008,Adelie
Torgersen,37.2,19.4,184,3900,male,2008,Adelie
Torgersen,34.6,17.2,189,3200,female,2008,Adelie
Torgersen,42.9,17.6,196,4700,male,2008,Adelie
Dream,37.3,17.8,191,3350,female,2008,Adelie
Dream,41.3,20.3,194,3550,male,2008,Adelie
Dream,36.9,18.6,189,3500,female,2008,Adelie
Dream,38.9,18.8,190,3600,female,2008,Adelie
Dream,38.1,18.6,190,3700,female,2008,Adelie
Dream,33.1,16.1,178,2900,female,2008,Adelie
Dream,43.2,18.5,192,4100,male,2008,Adelie
Biscoe,38.6,17.2,199,3750,female,2009,Adelie
Biscoe,45.6,20.3,191,4600,male,2009,Adelie
Biscoe,42.2,19.5,197,4275,male,2009,Adelie
Torgersen,40.6,19,199,4000,male,2009,Adelie
Torgersen,41.5,18.3,195,4300,male,2009,Adelie
Torgersen,44.1,18,210,4000,male,2009,Adelie
Torgersen,43.1,19.2,197,3500,male,2009,Adelie
Dream,41.1,17.5,190,3900,male,2009,Adelie
Dream,40.6,17.2,187,3475,male,2009,Adelie
Dream,32.1,15.5,188,3050,female,2009,Adelie
Biscoe,46.1,13.2,211,4500,female,2007,Gentoo
Biscoe,46.5,13.5,210,4550,female,2007,Gentoo
Biscoe,46.7,15.3,219,5200,male,2007,Gentoo
Biscoe,43.3,13.4,209,4400,female,2007,Gentoo
Biscoe,45.5,13.7,214,4650,female,2007,Gentoo
Biscoe,49.2,15.2,221,6300,male,2007,Gentoo
Biscoe,46.2,14.5,209,4800,female,2007,Gentoo
Biscoe,42.9,13.1,215,5000,female,2007,Gentoo
Biscoe,48.2,14.3,210,4600,female,2007,Gentoo
Biscoe,50,15.3,220,5550,male,2007,Gentoo
Biscoe,48.4,16.3,220,5400,male,2008,Gentoo
Biscoe,42.7,13.7,208,3950,female,2008,Gentoo
Biscoe,49.6,16,225,5700,male,2008,Gentoo
Biscoe,45.3,13.7,210,4300,female,2008,Gentoo
Biscoe,49.6,15,216,4750,male,2008,Gentoo
Biscoe,43.6,13.9,217,4900,female,2008,Gentoo
Biscoe,48.5,14.1,220,5300,male,2008,Gentoo
Biscoe,45,15.4,220,5050,male,2008,Gentoo
Biscoe,45.8,14.2,219,4700,female,2008,Gentoo
Biscoe,48.2,15.6,221,5100,male,2008,Gentoo
Biscoe,45.2,16.4,223,5950,male,2008,Gentoo
Biscoe,49.1,14.5,212,4625,female,2009,Gentoo
Biscoe,52.5,15.6,221,5450,male,2009,Gentoo
Biscoe,47.4,14.6,212,4725,female,2009,Gentoo
Biscoe,43.4,14.4,218,4600,female,2009,Gentoo
Biscoe,51.3,14.2,218,5300,male,2009,Gentoo
Biscoe,52.1,17,230,5550,male,2009,Gentoo
Biscoe,47.5,15,218,4950,female,2009,Gentoo
Biscoe,44.5,14.7,214,4850,female,2009,Gentoo
Biscoe,48.5,15,219,4850,female,2009,Gentoo
Biscoe,47.2,15.5,215,4975,female,2009,Gentoo
Biscoe,43.5,15.2,213,4650,female,2009,Gentoo
Biscoe,48.8,16.2,222,6000,male,2009,Gentoo
Biscoe,50.4,15.7,222,5750,male,2009,Gentoo
Dream,46.1,18.2,178,3250,female,2007,Chinstrap
Dream,46,18.9,195,4150,female,2007,Chinstrap
Dream,51.3,19.9,198,3700,male,2007,Chinstrap
Dream,51.7,20.3,194,3775,male,2007,Chinstrap
Dream,47,17.3,185,3700,female,2007,Chinstrap
Dream,50.5,19.6,201,4050,male,2007,Chinstrap
Dream,50.5,18.4,200,3400,female,2008,Chinstrap
Dream,49.5,19,200,3800,male,2008,Chinstrap
Dream,42.5,16.7,187,3350,female,2008,Chinstrap
Dream,47.6,18.3,195,3850,female,2008,Chinstrap
Dream,50.9,19.1,196,3550,male,2008,Chinstrap
Dream,49,19.6,212,4300,male,2009,Chinstrap
Dream,51.4,19,201,3950,male,2009,Chinstrap
Dream,50.7,19.7,203,4050,male,2009,Chinstrap
Dream,45.2,16.6,191,3250,female,2009,Chinstrap
Dream,51.9,19.5,206,3950,male,2009,Chinstrap
Dream,45.7,17,195,3650,female,2009,Chinstrap
Dream,50.2,18.7,198,3775,female,2009,Chinstrap
